parameter_server-1  | [Parameter Server] Starting on port 12345 (Hybrid Mode)
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 1.525ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 29.167ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 15000 images
parameter_server-1  | [Parameter Server] Worker connected (request #61)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.185ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.267ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.200ms
parameter_server-1  | [Parameter Server] Request #61 (OUTPUT) processed in 0.825ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 16000 images (sync #16), avg_loss=0.239112
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.133ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.015ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.990ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 16000 images
parameter_server-1  | [Parameter Server] Worker connected (request #62)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 9.161ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 29.043ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 48.376ms
worker2_stage1-1    | [Stage1 Group 2] Syncing after 16000 images (sync #16)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 10.977ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 48.189ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 91.556ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 16000 images
parameter_server-1  | [Parameter Server] Request #62 (HIDDEN) processed in 89.360ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #63)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.040ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.156ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.180ms
parameter_server-1  | [Parameter Server] Request #63 (OUTPUT) processed in 0.523ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 16000 images (sync #16), avg_loss=0.238410
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.056ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.009ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.014ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 16000 images
parameter_server-1  | [Parameter Server] Worker connected (request #64)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 2.603ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 14.490ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 4.563ms
parameter_server-1  | [Parameter Server] Request #64 (HIDDEN) processed in 23.659ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 16000 images (sync #16)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 2.299ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 4.358ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 24.419ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 16000 images
parameter_server-1  | [Parameter Server] Worker connected (request #65)
worker2_stage2-1    | [Stage2 Group 2] Syncing after 17000 images (sync #17), avg_loss=0.241533
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.130ms
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.170ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.185ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.370ms
parameter_server-1  | [Parameter Server] Request #65 (OUTPUT) processed in 0.849ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.250ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.126ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 17000 images
parameter_server-1  | [Parameter Server] Worker connected (request #66)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 2.319ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 24.241ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 5.401ms
parameter_server-1  | [Parameter Server] Request #66 (HIDDEN) processed in 34.592ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 17000 images (sync #17)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 2.290ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 3.634ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 35.055ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 17000 images
parameter_server-1  | [Parameter Server] Worker connected (request #67)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.169ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.241ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.202ms
parameter_server-1  | [Parameter Server] Request #67 (OUTPUT) processed in 0.830ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 17000 images (sync #17), avg_loss=0.241471
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.181ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.009ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.210ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 17000 images
parameter_server-1  | [Parameter Server] Worker connected (request #68)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 5.654ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 20.088ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 2.463ms
parameter_server-1  | [Parameter Server] Request #68 (HIDDEN) processed in 40.688ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 17000 images (sync #17)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 16.183ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 2.235ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 50.098ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 17000 images
parameter_server-1  | [Parameter Server] Worker connected (request #69)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.646ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.200ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.175ms
parameter_server-1  | [Parameter Server] Request #69 (OUTPUT) processed in 1.226ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 18000 images (sync #18), avg_loss=0.242563
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.201ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.011ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.584ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 18000 images
parameter_server-1  | [Parameter Server] Worker connected (request #70)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 3.050ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 37.252ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 2.355ms
parameter_server-1  | [Parameter Server] Request #70 (HIDDEN) processed in 45.506ms
parameter_server-1  | [Parameter Server] === Processed 70 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 18000 images (sync #18)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 9.409ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 2.124ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 52.285ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 18000 images
parameter_server-1  | [Parameter Server] Worker connected (request #71)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.012ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 2.324ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.191ms
parameter_server-1  | [Parameter Server] Request #71 (OUTPUT) processed in 2.622ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 18000 images (sync #18), avg_loss=0.240869
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.103ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.013ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 3.693ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 18000 images
parameter_server-1  | [Parameter Server] Worker connected (request #72)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 12.088ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 59.613ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 13.436ms
parameter_server-1  | [Parameter Server] Request #72 (HIDDEN) processed in 87.291ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 18000 images (sync #18)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 3.240ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 15.876ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 90.528ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 18000 images
parameter_server-1  | [Parameter Server] Worker connected (request #73)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.058ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.228ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.190ms
parameter_server-1  | [Parameter Server] Request #73 (OUTPUT) processed in 0.698ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 19000 images (sync #19), avg_loss=0.244585
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.093ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.010ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.290ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 19000 images
parameter_server-1  | [Parameter Server] Worker connected (request #74)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 2.419ms
worker2_stage1-1    | [Stage1 Group 2] Syncing after 19000 images (sync #19)
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 21.683ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 2.106ms
parameter_server-1  | [Parameter Server] Request #74 (HIDDEN) processed in 28.378ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 1.729ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 1.891ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 28.745ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 19000 images
parameter_server-1  | [Parameter Server] Worker connected (request #75)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.010ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.154ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.135ms
parameter_server-1  | [Parameter Server] Request #75 (OUTPUT) processed in 0.463ms
worker1_stage2-1    | [Stage2 Group 1] Syncing after 19000 images (sync #19), avg_loss=0.242889
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.052ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.010ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 0.730ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 19000 images
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #76)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 3.500ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 14.984ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 8.492ms
parameter_server-1  | [Parameter Server] Request #76 (HIDDEN) processed in 29.397ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 19000 images (sync #19)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 2.663ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 2.138ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 29.635ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 19000 images
parameter_server-1  | [Parameter Server] Worker connected (request #77)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.016ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.192ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.201ms
parameter_server-1  | [Parameter Server] Request #77 (OUTPUT) processed in 0.594ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 20000 images (sync #20), avg_loss=0.242720
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.103ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.010ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.741ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 20000 images
parameter_server-1  | [Parameter Server] Worker connected (request #78)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 29.073ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 71.660ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 12.559ms
parameter_server-1  | [Parameter Server] Request #78 (HIDDEN) processed in 115.752ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 20000 images (sync #20)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 14.950ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 12.597ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 116.306ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 20000 images
parameter_server-1  | [Parameter Server] Worker connected (request #79)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.140ms
worker1_stage2-1    | [Stage2 Group 1] Syncing after 20000 images (sync #20), avg_loss=0.243867
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 1.286ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 3.737ms
parameter_server-1  | [Parameter Server] Request #79 (OUTPUT) processed in 6.089ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.103ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 2.084ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 6.904ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 20000 images
parameter_server-1  | [Parameter Server] Worker connected (request #80)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 47.417ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 37.476ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 2.082ms
worker1_stage1-1    | [Stage1 Group 1] Syncing after 20000 images (sync #20)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 29.421ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 2.032ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 91.063ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 20000 images
parameter_server-1  | [Parameter Server] Request #80 (HIDDEN) processed in 89.622ms
parameter_server-1  | [Parameter Server] === Processed 80 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 21000 images (sync #21), avg_loss=0.245020
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.194ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.206ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.307ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 21000 images
parameter_server-1  | [Parameter Server] Worker connected (request #81)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.181ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.214ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.326ms
parameter_server-1  | [Parameter Server] Request #81 (OUTPUT) processed in 0.923ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #82)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 2.430ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 23.926ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 4.697ms
parameter_server-1  | [Parameter Server] Request #82 (HIDDEN) processed in 40.889ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 21000 images (sync #21)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 2.363ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 10.050ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 46.789ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 21000 images
parameter_server-1  | [Parameter Server] Worker connected (request #83)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.013ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.430ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.521ms
worker1_stage2-1    | [Stage2 Group 1] Syncing after 21000 images (sync #21), avg_loss=0.245369
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.078ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.317ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.601ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 21000 images
parameter_server-1  | [Parameter Server] Request #83 (OUTPUT) processed in 1.296ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #84)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 3.808ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 28.608ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 3.083ms
parameter_server-1  | [Parameter Server] Request #84 (HIDDEN) processed in 37.764ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 21000 images (sync #21)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 2.635ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 2.790ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 37.977ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 21000 images
parameter_server-1  | [Parameter Server] Worker connected (request #85)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.697ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.195ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.199ms
parameter_server-1  | [Parameter Server] Request #85 (OUTPUT) processed in 1.349ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 22000 images (sync #22), avg_loss=0.245268
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.197ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.012ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.976ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 22000 images
parameter_server-1  | [Parameter Server] Worker connected (request #86)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 3.099ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 42.604ms
worker2_stage1-1    | [Stage1 Group 2] Syncing after 22000 images (sync #22)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 4.978ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 7.802ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 64.107ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 22000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 7.562ms
parameter_server-1  | [Parameter Server] Request #86 (HIDDEN) processed in 61.193ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #87)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.727ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.201ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.261ms
parameter_server-1  | [Parameter Server] Request #87 (OUTPUT) processed in 1.352ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 22000 images (sync #22), avg_loss=0.243812
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.168ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.035ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.555ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 22000 images
parameter_server-1  | [Parameter Server] Worker connected (request #88)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 1.806ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 16.706ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 3.198ms
parameter_server-1  | [Parameter Server] Request #88 (HIDDEN) processed in 24.702ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 22000 images (sync #22)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 1.600ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 13.642ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 35.743ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 22000 images
parameter_server-1  | [Parameter Server] Worker connected (request #89)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.225ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.176ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.209ms
worker2_stage2-1    | [Stage2 Group 2] Syncing after 23000 images (sync #23), avg_loss=0.244122
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.217ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.046ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.170ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 23000 images
parameter_server-1  | [Parameter Server] Request #89 (OUTPUT) processed in 0.880ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #90)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 2.059ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 17.843ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 2.027ms
parameter_server-1  | [Parameter Server] Request #90 (HIDDEN) processed in 25.913ms
parameter_server-1  | [Parameter Server] === Processed 90 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 23000 images (sync #23)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 15.844ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 1.974ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 40.325ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 23000 images
parameter_server-1  | [Parameter Server] Worker connected (request #91)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.009ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.164ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.183ms
parameter_server-1  | [Parameter Server] Request #91 (OUTPUT) processed in 0.600ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
